benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Forsyth,2,psi,8640000.0,Reference,1.85,-2.05432389264159,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,1.95,-2.0246223166677937,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.0500000000000003,-1.9960701271674293,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.15,-1.968557889655817,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.25,-1.9419802784045883,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.35,-1.9162343398553865,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.45,-1.8912177561174224,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.5500000000000003,-1.8668270699693064,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.6500000000000004,-1.842955836398961,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.75,-1.819492669892976,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.85,-1.796319162269603,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,2.95,-1.7733076538868178,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.0500000000000003,-1.7503188528616604,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.1500000000000004,-1.7271993141181126,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.25,-1.7037788145313957,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.35,-1.6798676942326098,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.45,-1.6552542792846612,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.5500000000000003,-1.629702558883558,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.65,-1.6029503610366234,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.75,-1.5747083517455305,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.85,-1.5446602671911354,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,3.95,-1.51246486314963,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.05,-1.4777601098091215,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.15,-1.4401701438821082,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.25,-1.399315377972753,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.3500000000000005,-1.3548259249859052,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.45,-1.3063581019556474,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.55,-1.2536132432267229,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.65,-1.1963574367235732,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.75,-1.1344402162929184,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.8500000000000005,-1.0678098610762068,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,4.95,-0.99652293867151,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.050000000000001,-0.9207461939479592,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.15,-0.8407498197475655,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.25,-0.756892387992971,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.3500000000000005,-0.6695989881507549,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.45,-0.5793351014580806,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.550000000000001,-0.4865791981123823,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.65,-0.3917968934476022,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.75,-0.2954187759531514,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.8500000000000005,-0.1978226510529944,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
Forsyth,2,psi,8640000.0,Reference,5.95,-0.0993170949475741,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Forsyth, Wu and Pruess (1995), https://doi.org/10.1016/0309-1708(95)00020-J."
