benchmark,figure_number,field,time_s,series,depth_m,value,reference_source
Zhi Li,6,psi,32400.0,Reference,0.33,-0.1413694311813866,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.35,-0.1889089648908753,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.37,-0.2549451292055694,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.39,-0.3521550502582671,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.41,-0.5095893139995673,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.43,-0.8100962640430059,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.45,-1.5693566219531696,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.47,-4.565878191432287,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.49,-28.768080393218877,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.51,-42.62755565137047,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.53,-42.64998429585877,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.55,-42.64999998917523,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.5700000000000001,-42.64999999999134,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.59,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.61,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.63,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.65,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.67,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.6900000000000001,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.71,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
Zhi Li,6,psi,32400.0,Reference,0.73,-42.64999999999996,"Authors' implicit Picard calculation generated from the benchmark configuration adapted from Li et al. (2024), https://doi.org/10.1016/j.envsoft.2023.105900."
